"Kod";"Nazwa";"wypadki ogółem;1999;[szt.]";"wypadki ogółem;2000;[szt.]";"wypadki ogółem;2001;[szt.]";"wypadki ogółem;2002;[szt.]";"wypadki ogółem;2003;[szt.]";"wypadki ogółem;2004;[szt.]";"wypadki ogółem;2005;[szt.]";"wypadki ogółem;2006;[szt.]";"wypadki ogółem;2007;[szt.]";"wypadki ogółem;2008;[szt.]";"wypadki ogółem;2009;[szt.]";"wypadki ogółem;2010;[szt.]";"wypadki ogółem;2011;[szt.]";"wypadki ogółem;2012;[szt.]";"wypadki ogółem;2013;[szt.]";"wypadki ogółem;2014;[szt.]";"wypadki ogółem;2015;[szt.]";"wypadki ogółem;2016;[szt.]";"wypadki ogółem;2017;[szt.]";"wypadki ogółem;2018;[szt.]";"wypadki ogółem;2019;[szt.]";"wypadki ogółem;2020;[szt.]";"wypadki ogółem;2021;[szt.]";"wypadki ogółem;2022;[szt.]";"wypadki ogółem;2023;[szt.]";"wypadki ogółem;2024;[szt.]";
0000000;"POLSKA";;57331;53799;53559;51078;51069;48100;46876;49536;49054;44196;38832;40131;37062;35847;34970;32967;33664;32760;31674;30288;23540;22816;21322;20936;21519;
0200000;"DOLNOŚLĄSKIE";;3785;3552;3242;2960;2987;3149;3030;3115;3003;2668;2294;2973;3221;2586;2466;2280;2324;2183;2148;1929;1578;1730;1869;1792;1883;
0201000;"Powiat bolesławiecki";;;;;;;;;;;;;49;70;67;70;79;84;52;63;53;55;33;35;40;60;
0201011;"Bolesławiec (1)";;;;;;;;;;;;;;;;;;;;;;;;;12;22;
0201022;"Bolesławiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;7;
0201032;"Gromadka (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;8;
0201043;"Nowogrodziec (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;16;
0201052;"Osiecznica (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0201062;"Warta Bolesławiecka (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;6;
0202000;"Powiat dzierżoniowski";;;;;;;;;;;;;68;57;64;54;53;56;38;47;50;34;39;40;43;44;
0202011;"Bielawa (1)";;;;;;;;;;;;;;;;;;;;;;;;;10;10;
0202021;"Dzierżoniów (1)";;;;;;;;;;;;;;;;;;;;;;;;;13;6;
0202033;"Pieszyce (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
0202041;"Piława Górna (1)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
0202052;"Dzierżoniów (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;7;
0202062;"Łagiewniki (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
0202073;"Niemcza (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
0203000;"Powiat głogowski";;;;;;;;;;;;;50;64;65;58;54;53;47;44;37;35;26;51;56;61;
0203011;"Głogów (1)";;;;;;;;;;;;;;;;;;;;;;;;;30;37;
0203022;"Głogów (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;8;
0203032;"Jerzmanowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;8;
0203042;"Kotla (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0203052;"Pęcław (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0203062;"Żukowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
0204000;"Powiat górowski";;;;;;;;;;;;;14;38;51;41;36;39;43;39;35;16;23;19;16;18;
0204013;"Góra (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;8;
0204022;"Jemielno (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0204032;"Niechlów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0204043;"Wąsosz (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
0205000;"Powiat jaworski";;;;;;;;;;;;;41;58;58;63;52;53;44;39;26;14;31;24;12;21;
0205011;"Jawor (1)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
0205023;"Bolków (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;10;
0205032;"Męcinka (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0205042;"Mściwojów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0205052;"Paszowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0205062;"Wądroże Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
0206000;"Powiat karkonoski";;;;;;;;;;;;;29;43;35;41;30;35;24;31;38;26;22;16;18;27;
0206011;"Karpacz (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
0206021;"Kowary (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0206031;"Piechowice (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0206041;"Szklarska Poręba (1)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0206052;"Janowice Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
0206062;"Jeżów Sudecki (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0206072;"Mysłakowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0206082;"Podgórzyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;7;
0206092;"Stara Kamienica (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
0207000;"Powiat kamiennogórski";;;;;;;;;;;;;32;35;36;34;35;31;22;23;15;10;12;5;18;21;
0207011;"Kamienna Góra (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0207022;"Kamienna Góra (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;9;
0207033;"Lubawka (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
0207042;"Marciszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0208000;"Powiat kłodzki";;;;;;;;;;;;;110;145;163;144;125;147;115;145;110;96;104;100;99;96;
0208011;"Duszniki-Zdrój (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0208021;"Kłodzko (1)";;;;;;;;;;;;;;;;;;;;;;;;;17;13;
0208031;"Kudowa-Zdrój (1)";;;;;;;;;;;;;;;;;;;;;;;;;7;5;
0208041;"Nowa Ruda (1)";;;;;;;;;;;;;;;;;;;;;;;;;12;9;
0208051;"Polanica-Zdrój (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0208063;"Bystrzyca Kłodzka (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;12;
0208072;"Kłodzko (2)";;;;;;;;;;;;;;;;;;;;;;;;;17;19;
0208083;"Lądek-Zdrój (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0208092;"Lewin Kłodzki (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0208103;"Międzylesie (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0208112;"Nowa Ruda (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;13;
0208123;"Radków (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;9;
0208133;"Stronie Śląskie (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0208143;"Szczytna (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
0209000;"Powiat legnicki";;;;;;;;;;;;;49;55;63;57;55;45;51;39;38;33;49;37;33;25;
0209011;"Chojnów (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0209022;"Chojnów (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
0209032;"Krotoszyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;1;
0209042;"Kunice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0209052;"Legnickie Pole (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0209062;"Miłkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;2;
0209073;"Prochowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0209082;"Ruja (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0210000;"Powiat lubański";;;;;;;;;;;;;32;22;22;36;27;22;23;19;28;18;20;24;25;48;
0210011;"Lubań (1)";;;;;;;;;;;;;;;;;;;;;;;;;8;18;
0210021;"Świeradów-Zdrój (1)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0210033;"Leśna (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
0210042;"Lubań (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;9;
0210053;"Olszyna (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;6;
0210062;"Platerówka (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0210072;"Siekierczyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0211000;"Powiat lubiński";;;;;;;;;;;;;76;71;70;60;66;62;59;71;53;48;39;53;53;53;
0211011;"Lubin (1)";;;;;;;;;;;;;;;;;;;;;;;;;19;34;
0211022;"Lubin (2)";;;;;;;;;;;;;;;;;;;;;;;;;18;10;
0211032;"Rudna (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;6;
0211043;"Ścinawa (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;3;
0212000;"Powiat lwówecki";;;;;;;;;;;;;19;28;28;22;26;25;17;17;19;19;15;14;13;42;
0212013;"Gryfów Śląski (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;10;
0212023;"Lubomierz (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;9;
0212033;"Lwówek Śląski (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;17;
0212043;"Mirsk (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0212053;"Wleń (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0213000;"Powiat milicki";;;;;;;;;;;;;29;32;34;35;35;35;30;27;24;24;24;21;22;22;
0213012;"Cieszków (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0213022;"Krośnice (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
0213033;"Milicz (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;17;
0214000;"Powiat oleśnicki";;;;;;;;;;;;;97;86;67;50;62;50;48;36;45;39;37;25;46;52;
0214011;"Oleśnica (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;11;
0214023;"Bierutów (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0214032;"Dobroszyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0214042;"Dziadowa Kłoda (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0214053;"Międzybórz (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;5;
0214062;"Oleśnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;16;10;
0214073;"Syców (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;15;
0214083;"Twardogóra (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
0215000;"Powiat oławski";;;;;;;;;;;;;58;59;43;50;46;50;59;63;52;44;33;39;32;39;
0215011;"Oława (1)";;;;;;;;;;;;;;;;;;;;;;;;;14;15;
0215022;"Domaniów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0215033;"Jelcz-Laskowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
0215042;"Oława (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;12;
0216000;"Powiat polkowicki";;;;;;;;;;;;;45;38;24;29;31;49;48;33;35;32;24;20;29;33;
0216013;"Chocianów (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
0216022;"Gaworzyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0216032;"Grębocice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0216043;"Polkowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;15;
0216053;"Przemków (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
0216062;"Radwanice (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
0217000;"Powiat strzeliński";;;;;;;;;;;;;40;51;39;37;38;34;37;40;35;29;32;28;23;23;
